Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
COFFEE 1.1,CO_BAU,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,40.028521194648,66.25401519744,73.6857355386096,81.046590854832,80.956739650464,83.932188182208,82.885649118912,81.839110055616,82.48560262833601,83.132095201056,89.310457727064,95.488820253072,109.576992519504,123.665164785936,123.182686392264,122.700207998592
COFFEE 1.1,CO_Bridge,P3c,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,45.055867276944,63.445579776432,72.0417646132661,78.022997447184,78.509772762768,80.020410644736,76.05678395445841,72.0931572641808,59.004124834939205,45.9150924056976,39.6419137957008,33.368735185704,42.4864010063448,51.6040668269856,51.9531928384608,52.302318849936
COFFEE 1.1,CO_CurPol,P1b,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,43.6851674558208,63.79166539584,72.1436653605701,78.827104109664,80.816998052592,84.403980145008,87.70457809764,91.005176050272,93.933327992976,96.86147993568,99.416613584664,101.971747233648,103.986033752232,106.000320270816,108.341774466984,110.683228663152
COFFEE 1.1,CO_GPP,P1d,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,45.055867276944,63.445579776432,72.4440507432581,78.6959525523744,80.4662237994624,83.5813180375632,86.2541611783632,88.9270043191632,91.4110707990168,93.8951372788704,96.3721399044384,98.8491425300064,101.5698788894302,104.290615248854,107.556303741955,110.821992235056
COFFEE 1.1,CO_NDCplus,P1c,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,44.49748395456,61.177947903072,76.881677141818,85.7155412937312,89.96477528016,134.352879583104,155.858769493992,177.36465940488,188.069446467936,198.774233530992,206.556527045448,214.338820559904,221.670355882464,229.001891205024,234.852933498048,240.703975791072
COFFEE 1.1,EN_INDCi2030_1000,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,44.49748395456,61.177947903072,75.6608789221445,79.811593696224,74.9992536452981,45.0445936908485,41.026364379686896,37.0081350685253,37.606411057207694,38.2046870458901,39.8703433635677,41.5359996812453,52.90968714250825,64.2833746037712,66.31129841301359,68.339222222256
COFFEE 1.1,EN_INDCi2030_1000_COV_NDCp,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,40.866198733296,44.3337857725392,59.6134566151632,66.6586896726485,70.786107810144,68.9043998938464,59.058160771248,48.300238134144,37.54231549704,33.437158009200004,29.33200052136,34.47930281472,39.62660510808,45.7028695076904,51.7791339073008,54.4212732516048,57.0634125959088
COFFEE 1.1,EN_INDCi2030_1000_NDCp,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.4677498664528,43.8203884248576,61.123630769712,71.0901804838133,75.507481733904,67.365730216512,59.7872086657229,47.74773358148185,35.7082584972408,34.75489707104545,33.8015356448501,39.068342347193294,44.3351490495365,48.84466349568025,53.354177941824,56.9281712057352,60.5021644696464
COFFEE 1.1,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,44.49748395456,61.177947903072,76.5529195957157,84.6822211566336,88.1297477971733,112.897492890759,98.7305378262158,84.5635827616726,63.01526283379056,41.4669429059085,40.692244111453206,39.9175453169979,39.67432357283765,39.4311018286774,38.39806756529365,37.3650333019099
COFFEE 1.1,EN_INDCi2030_1000f_COV_NDCp,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,40.866198733296,44.3337857725392,59.6134566151632,67.4814992045861,73.4439136716,75.043086949872,77.6770997508,75.6015961261248,73.5260925014496,59.2371463083624,44.9482001152752,37.2964115881152,29.6446230609552,29.8878061652136,30.130989269472,35.1330035741136,40.1350178787552
COFFEE 1.1,EN_INDCi2030_1000f_NDCp,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.4677498664528,43.8203884248576,61.123630769712,72.1080160160213,78.3299362818816,79.780642436736,82.315337399136,79.72468973604,77.134042072944,63.954475246584,50.774908420224,40.908187782,31.041467143776,34.499384703,37.957302262224,41.369666889384,44.782031516544
